labels, track_id, stationary, pos_x, pos_y, pos_z, dim_x, dim_y, dim_z, yaw, vehicle_state, intended_actions, potential_destination,right turn/left turn/go forward/u turn/lane change not possible/none of the above
Car,13f222fd-065c-4745-b441-44dd25566cbb,dynamic,60.62509278356916,-38.66697059250289,-4.460620675889863,1.86,4.43,1.86,-1.5842990444052742,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,1b4434f1-db4f-4372-87aa-0fe03b4ba498,dynamic,21.184533123218554,37.16782172415306,1.7218167858224498,1.815,4.741,2.193,-2.7720515119674216,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,1e095ea8-494b-438a-9590-aadad8c8f966,dynamic,28.141208167615925,17.080976998912643,0.31569470337724476,1.847,4.2,2.16,-2.7720515119674216,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,3166238b-3403-4def-ac85-38b3b575b087,dynamic,25.807049727767552,23.55637738462837,0.5504397189946694,1.747,4.2,1.736,-2.8069875070173103,Stopped,None,None,-1.-1.-1.-1.-1.-1
Truck,3815ffa1-aecc-423b-a0a5-fa36569cfe9d,dynamic,15.354339535610858,26.37592776511771,1.3297434407013582,2.27,4.934,3.056,0.2602003446335347,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,392d037a-bb23-4395-96ca-71c7a38d0631,dynamic,8.411434375649652,-4.077232008453663,-1.0482245458616108,1.665,4.124,1.87,-1.5311969501552234,Stopped,None,None,1.0.0.0.0.0
Car,39fa0968-6430-40e5-842f-16be854563e6,dynamic,23.989564135401356,17.600864772383044,0.12222756721918249,1.826,4.494,1.848,-2.7720515119674216,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,44d14800-ec4e-4add-a25b-2be7c1fc5bf0,dynamic,34.645885888265525,-35.69025916854598,-4.137190328688178,1.86,4.468,1.86,-1.5939895573869736,Other moving,None,None,-1.-1.-1.-1.-1.-1
Bicyclist,5745115c-5e71-4cac-9fb5-29b95b2c87be,dynamic,47.50891654437969,5.696761615278652,-1.166553363467658,0.734,1.987,1.799,2.4694247574452786,Stopped,None,None,0.0.0.0.0.1
Car,72162541-bcac-4fd4-ae43-e0460b6d4c16,dynamic,43.49337986213568,0.23159961630573478,-1.4420937026833338,1.884,3.788,1.86,-1.5695696771266765,Other moving,None,None,0.0.0.0.0.1
